No Buku,Judul,Genre,Penulis
271,"Saat Cinta Mengubah Dunia","Romansa, Fiksi","Shinta Anisa"
272,"Cinta yang Tak Terhalang Waktu","Romansa, Fiksi","Tasya Aulia"
273,"Menari di Bawah Cahaya Cinta","Romansa, Drama","Ika Amalia"
274,"Cinta dalam Segala Keadaan","Romansa, Fiksi","Jihan Nadia"
275,"Pernah Ada Cinta","Romansa, Drama","Maya Dian"
276,"Cinta yang Menggugah Hati","Romansa, Fiksi","Asha Kartika"
277,"Cinta Tanpa Batas Waktu","Romansa, Fiksi","Fatimah Hidayah"
278,"Menunggu Cinta yang Tertunda","Romansa, Fiksi","Hilda Nur"
279,"Cinta dalam Sepenggal Kisah","Romansa, Drama","Mira Rini"
280,"Cinta yang Tumbuh Kembali","Romansa, Fiksi","Anisa Dewi"
281,"Cinta yang Melewati Segala Rintangan","Romansa, Drama","Lina Kusumawati"
282,"Kisah Cinta yang Penuh Harapan","Romansa, Fiksi","Ayu Sofia"
283,"Cinta di Antara Dua Dunia","Romansa, Psikologis","Vina Rosita"
284,"Cinta yang Tak Dapat Diungkapkan","Romansa, Fiksi","Dian Kusuma"
285,"Cinta yang Membuka Hati","Romansa, Drama","Fifi Vani"
286,"Ketika Cinta Berujung Bahagia","Romansa, Fiksi","Fiona Larasati"
287,"Cinta yang Membangkitkan Semangat","Romansa, Fiksi","Karina Putri"
288,"Sebuah Cinta yang Abadi","Romansa, Drama","Diana Suryani"
289,"Cinta yang Terpendam","Romansa, Fiksi","Tina Rahmi"
290,"Bersama Cinta Kita Bisa","Romansa, Fiksi","Bunga Melati"
291,"Cinta yang Terluka","Romansa, Psikologis","Aisha Putri"
292,"Cinta yang Terpendam dalam Diri","Romansa, Fiksi","Nani Sari"
293,"Cinta yang Menemani Sepanjang Waktu","Romansa, Fiksi","Ariana Sari"
294,"Di Balik Cinta yang Tersembunyi","Romansa, Drama","Lira Nadia"
295,"Cinta yang Menyembuhkan","Romansa, Psikologis","Syira Putri"
296,"Cinta yang Tak Terhenti","Romansa, Fiksi","Vina Halim"
297,"Cinta yang Membawa Keajaiban","Romansa, Drama","Tari Dian"
298,"Menggapai Cinta di Bawah Bulan","Romansa, Fiksi","Siti Aisyah"
299,"Cinta yang Tak Pernah Berakhir","Romansa, Psikologis","Alina Zahra"
300,"Cinta yang Menghidupkan Kembali","Romansa, Fiksi","Lina Rania"
